t_s,VSYS_V,VDISP_V,I_discharge_A
3.926280e+00,3.799999e+00,1.444000e-09,1.500000e-05
3.945280e+00,3.799999e+00,1.444000e-09,1.500000e-05
3.964280e+00,3.799999e+00,1.444000e-09,1.500000e-05
3.983280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.002280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.021280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.040280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.059280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.078280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.097280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.116280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.135280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.154280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.173280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.192280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.211280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.230280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.249280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.268280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.287280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.306280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.325280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.344280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.363280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.382280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.401280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.420280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.439280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.458280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.477280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.496280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.515280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.534280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.553280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.572280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.591280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.610280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.629280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.648280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.667280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.686280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.705280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.724280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.743280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.762280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.781280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.800280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.819280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.838280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.857280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.876280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.895280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.914280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.933280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.952280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.971280e+00,3.799999e+00,1.444000e-09,1.500000e-05
4.990280e+00,3.799999e+00,1.444000e-09,1.500000e-05
5.000009e+00,3.767154e+00,3.724895e+00,4.105762e-01
5.006607e+00,3.799166e+00,3.789166e+00,1.042849e-02
5.025607e+00,3.799227e+00,3.789279e+00,9.658319e-03
5.044607e+00,3.799182e+00,3.789190e+00,1.023047e-02
5.063607e+00,3.799216e+00,3.789262e+00,9.805783e-03
